Div,HomeTeam,AwayTeam,win,loose,rivalry
D1,Augsburg,Bayern Munich,1,5,0
D1,Augsburg,Dortmund,1,5,0
D1,Augsburg,Hamburg,4,1,1
D1,Augsburg,Leverkusen,0,4,0
D1,Augsburg,Schalke 04,1,3,0
D1,Augsburg,Stuttgart,4,1,1
D1,Bayern Munich,Dortmund,6,1,1
D1,Bayern Munich,Ein Frankfurt,6,0,1
D1,Bayern Munich,FC Koln,4,0,1
D1,Bayern Munich,Freiburg,4,0,1
D1,Bayern Munich,Hamburg,5,0,1
D1,Bayern Munich,Hannover,5,0,1
D1,Bayern Munich,Leverkusen,6,1,1
D1,Bayern Munich,Stuttgart,4,1,1
D1,Bayern Munich,Werder Bremen,7,0,1
D1,Bayern Munich,Wolfsburg,6,0,1
D1,Dortmund,Ein Frankfurt,7,0,1
D1,Dortmund,Freiburg,5,0,1
D1,Dortmund,Hamburg,4,1,1
D1,Dortmund,Hannover,4,1,1
D1,Dortmund,Hoffenheim,5,0,1
D1,Dortmund,M'gladbach,6,1,1
D1,Dortmund,Mainz,5,1,1
D1,Dortmund,Stuttgart,4,0,1
D1,Ein Frankfurt,Bayern Munich,1,4,0
D1,Ein Frankfurt,FC Koln,4,1,1
D1,Ein Frankfurt,Hertha,1,1,0
D1,Ein Frankfurt,Wolfsburg,1,5,0
D1,FC Koln,Augsburg,0,2,0
D1,FC Koln,Bayern Munich,0,5,0
D1,FC Koln,Hertha,1,4,0
D1,FC Koln,Hoffenheim,1,2,0
D1,Freiburg,Bayern Munich,1,3,0
D1,Freiburg,Dortmund,0,4,0
D1,Freiburg,M'gladbach,4,0,1
D1,Freiburg,Wolfsburg,1,4,0
D1,Hamburg,Bayern Munich,0,4,0
D1,Hamburg,Ein Frankfurt,0,3,0
D1,Hamburg,Mainz,1,2,0
D1,Hamburg,Wolfsburg,1,3,0
D1,Hannover,Bayern Munich,0,5,0
D1,Hannover,Dortmund,1,3,0
D1,Hannover,Hertha,1,2,0
D1,Hannover,Leverkusen,0,3,0
D1,Hannover,Stuttgart,1,1,0
D1,Hertha,Bayern Munich,1,4,0
D1,Hertha,Hamburg,5,0,1
D1,Hertha,Hannover,1,2,0
D1,Hertha,Hoffenheim,1,3,0
D1,Hertha,Stuttgart,4,1,1
D1,Hertha,Werder Bremen,1,1,0
D1,Hoffenheim,Hannover,5,0,1
D1,Hoffenheim,Stuttgart,4,0,1
D1,Leverkusen,Hamburg,5,0,1
D1,Leverkusen,Hannover,4,0,1
D1,Leverkusen,Stuttgart,4,1,1
D1,M'gladbach,FC Koln,4,1,1
D1,M'gladbach,Freiburg,5,0,1
D1,M'gladbach,Hannover,5,0,1
D1,M'gladbach,Hertha,5,1,1
D1,Mainz,Augsburg,5,1,1
D1,Mainz,Bayern Munich,0,7,0
D1,Mainz,Dortmund,1,5,0
D1,Mainz,M'gladbach,1,3,0
D1,Schalke 04,Bayern Munich,0,6,0
D1,Schalke 04,FC Koln,0,3,0
D1,Schalke 04,Hannover,4,0,1
D1,Schalke 04,Hertha,6,1,1
D1,Schalke 04,Leverkusen,1,4,0
D1,Schalke 04,Mainz,6,0,1
D1,Schalke 04,Wolfsburg,5,0,1
D1,Stuttgart,Augsburg,1,3,0
D1,Stuttgart,Bayern Munich,0,5,0
D1,Stuttgart,Dortmund,1,4,0
D1,Stuttgart,Leverkusen,0,4,0
D1,Stuttgart,Schalke 04,1,4,0
D1,Werder Bremen,Bayern Munich,0,6,0
D1,Werder Bremen,Dortmund,1,4,0
D1,Werder Bremen,Freiburg,1,1,0
D1,Werder Bremen,Hamburg,4,1,1
D1,Werder Bremen,Hoffenheim,1,2,0
D1,Werder Bremen,M'gladbach,1,4,0
D1,Werder Bremen,Mainz,1,3,0
D1,Wolfsburg,Bayern Munich,1,5,0
D1,Wolfsburg,Hannover,1,1,0
D1,Wolfsburg,Stuttgart,4,0,1
E0,Arsenal,Bournemouth,5,0,1
E0,Arsenal,Burnley,5,0,1
E0,Arsenal,Everton,6,0,1
E0,Arsenal,Leicester,5,0,1
E0,Arsenal,Man City,1,3,0
E0,Arsenal,Newcastle,6,0,1
E0,Arsenal,Stoke,5,0,1
E0,Arsenal,West Brom,5,0,1
E0,Arsenal,West Ham,6,1,1
E0,Bournemouth,Arsenal,1,2,0
E0,Bournemouth,Chelsea,1,3,0
E0,Bournemouth,Liverpool,1,4,0
E0,Bournemouth,Man City,0,5,0
E0,Bournemouth,Watford,0,2,0
E0,Burnley,Arsenal,0,4,0
E0,Burnley,Chelsea,0,4,0
E0,Burnley,Liverpool,1,4,0
E0,Burnley,Man City,1,3,0
E0,Burnley,Man United,0,4,0
E0,Burnley,Tottenham,1,2,0
E0,Chelsea,Newcastle,6,0,1
E0,Chelsea,Stoke,4,0,1
E0,Chelsea,Swansea,4,0,1
E0,Crystal Palace,Arsenal,1,4,0
E0,Crystal Palace,Everton,0,2,0
E0,Crystal Palace,Liverpool,1,5,0
E0,Crystal Palace,Man City,1,5,0
E0,Crystal Palace,Man United,0,5,0
E0,Crystal Palace,Stoke,4,0,1
E0,Crystal Palace,Swansea,1,3,0
E0,Crystal Palace,Tottenham,1,5,0
E0,Everton,Burnley,4,1,1
E0,Everton,Liverpool,0,1,0
E0,Everton,Man City,1,5,0
E0,Everton,Tottenham,0,3,0
E0,Everton,West Brom,1,1,0
E0,Leicester,Chelsea,1,3,0
E0,Leicester,Man United,1,2,0
E0,Leicester,Watford,5,0,1
E0,Liverpool,Bournemouth,4,0,1
E0,Liverpool,Chelsea,1,2,0
E0,Liverpool,Man City,6,0,1
E0,Liverpool,Newcastle,5,0,1
E0,Liverpool,Stoke,4,0,1
E0,Liverpool,Swansea,4,1,1
E0,Liverpool,Watford,5,0,1
E0,Man City,Leicester,5,1,1
E0,Man City,Newcastle,5,0,1
E0,Man City,Southampton,6,0,1
E0,Man City,Swansea,5,0,1
E0,Man City,Watford,5,0,1
E0,Man City,West Brom,5,0,1
E0,Man City,West Ham,6,1,1
E0,Man United,Burnley,1,1,0
E0,Man United,Leicester,5,0,1
E0,Man United,Stoke,4,0,1
E0,Man United,Watford,5,0,1
E0,Man United,West Brom,1,3,0
E0,Newcastle,Arsenal,1,5,0
E0,Newcastle,Leicester,1,4,0
E0,Newcastle,Man City,1,3,0
E0,Newcastle,Tottenham,1,4,0
E0,Southampton,Chelsea,0,6,0
E0,Southampton,Liverpool,1,5,0
E0,Southampton,Man City,1,4,0
E0,Southampton,Man United,0,3,0
E0,Southampton,Stoke,1,2,0
E0,Stoke,Everton,1,2,0
E0,Stoke,Liverpool,1,4,0
E0,Stoke,Man City,1,3,0
E0,Stoke,Tottenham,1,4,0
E0,Swansea,Chelsea,1,3,0
E0,Swansea,Crystal Palace,1,0,0
E0,Swansea,Everton,1,1,0
E0,Swansea,Man City,0,4,0
E0,Swansea,Southampton,1,4,0
E0,Swansea,Tottenham,0,4,0
E0,Swansea,West Brom,4,1,1
E0,Swansea,West Ham,1,1,0
E0,Tottenham,Bournemouth,5,0,1
E0,Tottenham,Burnley,4,0,1
E0,Tottenham,Crystal Palace,6,0,1
E0,Tottenham,Liverpool,1,4,0
E0,Tottenham,Southampton,6,1,1
E0,Tottenham,Swansea,4,0,1
E0,Tottenham,Watford,4,0,1
E0,Tottenham,West Brom,1,1,0
E0,Watford,Arsenal,1,3,0
E0,Watford,Bournemouth,0,1,0
E0,Watford,Chelsea,1,3,0
E0,Watford,Crystal Palace,1,1,0
E0,Watford,Tottenham,1,2,0
E0,West Brom,Chelsea,1,3,0
E0,West Brom,Everton,0,3,0
E0,West Brom,Liverpool,0,1,0
E0,West Brom,Man City,0,5,0
E0,West Brom,Man United,1,3,0
E0,West Brom,Southampton,1,3,0
E0,West Brom,Tottenham,1,1,0
E0,West Ham,Arsenal,1,4,0
E0,West Ham,Everton,1,3,0
E0,West Ham,Leicester,1,3,0
E0,West Ham,Man City,1,5,0
E0,West Ham,Stoke,0,1,0
E0,West Ham,Swansea,4,1,1
E0,West Ham,West Brom,1,0,0
F1,Angers,Bordeaux,1,1,0
F1,Angers,Marseille,0,2,0
F1,Angers,Monaco,1,2,0
F1,Angers,Nice,1,1,0
F1,Angers,St Etienne,1,2,0
F1,Bordeaux,Caen,0,2,0
F1,Bordeaux,Lille,5,1,1
F1,Bordeaux,Nice,0,2,0
F1,Bordeaux,Paris SG,1,4,0
F1,Caen,Guingamp,1,1,0
F1,Caen,Lille,0,5,0
F1,Caen,Marseille,0,5,0
F1,Caen,Monaco,0,4,0
F1,Caen,Montpellier,1,2,0
F1,Caen,Nantes,1,4,0
F1,Caen,Paris SG,0,4,0
F1,Caen,Rennes,1,3,0
F1,Caen,Toulouse,4,0,1
F1,Guingamp,Caen,1,1,0
F1,Guingamp,Lyon,1,5,0
F1,Guingamp,Montpellier,0,2,0
F1,Guingamp,Nice,1,4,0
F1,Lille,Caen,4,1,1
F1,Lille,Nice,1,2,0
F1,Lille,Paris SG,1,5,0
F1,Lyon,Bordeaux,1,1,0
F1,Lyon,Caen,5,0,1
F1,Lyon,Guingamp,5,1,1
F1,Lyon,Lille,1,3,0
F1,Lyon,Toulouse,6,0,1
F1,Marseille,Angers,1,1,0
F1,Marseille,Guingamp,5,0,1
F1,Marseille,Monaco,1,2,0
F1,Marseille,Paris SG,0,5,0
F1,Marseille,Reims,1,2,0
F1,Marseille,St Etienne,6,0,1
F1,Monaco,Angers,4,1,1
F1,Monaco,Nantes,6,0,1
F1,Monaco,Paris SG,1,4,0
F1,Monaco,Reims,1,0,0
F1,Monaco,Toulouse,5,0,1
F1,Montpellier,Caen,4,1,1
F1,Montpellier,Monaco,1,3,0
F1,Montpellier,Rennes,1,2,0
F1,Montpellier,Toulouse,6,1,1
F1,Nantes,Guingamp,6,0,1
F1,Nantes,Lille,0,4,0
F1,Nantes,Lyon,1,2,0
F1,Nantes,Monaco,1,5,0
F1,Nantes,Paris SG,1,6,0
F1,Nantes,Rennes,1,4,0
F1,Nantes,St Etienne,1,3,0
F1,Nice,Nantes,1,1,0
F1,Nice,Paris SG,1,6,0
F1,Paris SG,Angers,5,0,1
F1,Paris SG,Bordeaux,6,0,1
F1,Paris SG,Guingamp,5,0,1
F1,Paris SG,Lyon,6,0,1
F1,Paris SG,Marseille,6,0,1
F1,Paris SG,Nantes,7,0,1
F1,Paris SG,Reims,4,1,1
F1,Paris SG,St Etienne,5,0,1
F1,Paris SG,Toulouse,6,0,1
F1,Reims,Lille,4,0,1
F1,Reims,Monaco,1,2,0
F1,Reims,Nice,1,1,0
F1,Reims,St Etienne,1,2,0
F1,Rennes,Angers,4,0,1
F1,Rennes,Lyon,1,3,0
F1,Rennes,Marseille,1,3,0
F1,Rennes,Monaco,1,2,0
F1,Rennes,Nice,1,3,0
F1,Rennes,Paris SG,1,5,0
F1,St Etienne,Guingamp,6,0,1
F1,St Etienne,Marseille,1,2,0
F1,St Etienne,Paris SG,0,5,0
F1,St Etienne,Reims,4,0,1
F1,St Etienne,Rennes,0,0,0
F1,Toulouse,Lyon,1,4,0
F1,Toulouse,Marseille,0,4,0
F1,Toulouse,Monaco,1,3,0
F1,Toulouse,Nantes,1,1,0
F1,Toulouse,Paris SG,1,4,0
F1,Toulouse,St Etienne,1,2,0
I1,Atalanta,Bologna,5,0,1
I1,Atalanta,Fiorentina,1,3,0
I1,Atalanta,Juventus,0,4,0
I1,Bologna,Fiorentina,0,3,0
I1,Bologna,Inter,0,4,0
I1,Bologna,Juventus,0,4,0
I1,Bologna,Lazio,0,3,0
I1,Bologna,Milan,0,4,0
I1,Bologna,Roma,1,3,0
I1,Bologna,Sampdoria,5,0,1
I1,Bologna,Torino,1,2,0
I1,Cagliari,Inter,1,4,0
I1,Cagliari,Juventus,0,5,0
I1,Cagliari,Lazio,0,4,0
I1,Cagliari,Milan,1,3,0
I1,Cagliari,Napoli,0,5,0
I1,Cagliari,Roma,0,4,0
I1,Cagliari,Torino,1,3,0
I1,Cagliari,Udinese,4,1,1
I1,Chievo,Atalanta,1,3,0
I1,Chievo,Bologna,1,1,0
I1,Chievo,Fiorentina,1,4,0
I1,Chievo,Juventus,0,6,0
I1,Chievo,Lazio,1,2,0
I1,Chievo,Milan,0,3,0
I1,Chievo,Napoli,0,5,0
I1,Chievo,Roma,0,3,0
I1,Chievo,Sassuolo,1,2,0
I1,Chievo,Torino,1,3,0
I1,Chievo,Udinese,1,2,0
I1,Fiorentina,Bologna,4,0,1
I1,Fiorentina,Cagliari,1,2,0
I1,Fiorentina,Chievo,6,0,1
I1,Fiorentina,Genoa,1,0,0
I1,Fiorentina,Lazio,1,5,0
I1,Fiorentina,Napoli,1,3,0
I1,Fiorentina,Roma,1,4,0
I1,Fiorentina,Udinese,7,0,1
I1,Genoa,Atalanta,1,4,0
I1,Genoa,Bologna,1,2,0
I1,Genoa,Inter,5,1,1
I1,Genoa,Napoli,0,4,0
I1,Genoa,Roma,1,4,0
I1,Genoa,Sampdoria,0,6,0
I1,Genoa,Udinese,1,2,0
I1,Inter,Genoa,7,0,1
I1,Inter,Juventus,1,3,0
I1,Inter,Verona,4,0,1
I1,Juventus,Atalanta,5,0,1
I1,Juventus,Bologna,6,0,1
I1,Juventus,Cagliari,5,0,1
I1,Juventus,Chievo,5,0,1
I1,Juventus,Fiorentina,7,0,1
I1,Juventus,Genoa,6,0,1
I1,Juventus,Lazio,5,1,1
I1,Juventus,Milan,7,0,1
I1,Juventus,Napoli,6,1,1
I1,Juventus,Roma,6,0,1
I1,Juventus,Sampdoria,5,0,1
I1,Juventus,Sassuolo,6,0,1
I1,Juventus,Udinese,6,1,1
I1,Juventus,Verona,5,0,1
I1,Lazio,Cagliari,5,0,1
I1,Lazio,Juventus,1,5,0
I1,Lazio,Napoli,1,6,0
I1,Lazio,Roma,1,3,0
I1,Lazio,Udinese,6,1,1
I1,Milan,Atalanta,1,2,0
I1,Milan,Bologna,4,1,1
I1,Milan,Cagliari,5,0,1
I1,Milan,Chievo,6,0,1
I1,Milan,Juventus,1,5,0
I1,Milan,Napoli,1,3,0
I1,Napoli,Bologna,5,1,1
I1,Napoli,Milan,5,0,1
I1,Napoli,Sampdoria,6,0,1
I1,Napoli,Udinese,5,0,1
I1,Napoli,Verona,5,0,1
I1,Roma,Atalanta,1,3,0
I1,Roma,Chievo,5,0,1
I1,Roma,Genoa,6,0,1
I1,Roma,Torino,6,1,1
I1,Roma,Udinese,6,0,1
I1,Sampdoria,Bologna,4,0,1
I1,Sampdoria,Cagliari,4,0,1
I1,Sampdoria,Lazio,1,5,0
I1,Sampdoria,Napoli,1,5,0
I1,Sampdoria,Sassuolo,1,3,0
I1,Sampdoria,Verona,4,0,1
I1,Sassuolo,Atalanta,1,4,0
I1,Sassuolo,Fiorentina,1,3,0
I1,Sassuolo,Juventus,1,4,0
I1,Sassuolo,Lazio,1,4,0
I1,Sassuolo,Napoli,1,3,0
I1,Sassuolo,Roma,1,5,0
I1,Sassuolo,Torino,1,1,0
I1,Sassuolo,Udinese,1,2,0
I1,Torino,Juventus,1,6,0
I1,Torino,Napoli,1,5,0
I1,Torino,Roma,1,2,0
I1,Udinese,Inter,0,6,0
I1,Udinese,Juventus,0,4,0
I1,Udinese,Lazio,0,5,0
I1,Udinese,Roma,1,6,0
I1,Verona,Fiorentina,1,4,0
I1,Verona,Roma,0,3,0
I1,Verona,Torino,1,2,0
I1,Verona,Udinese,0,2,0
SP1,Ath Bilbao,Ath Madrid,1,4,0
SP1,Ath Bilbao,Betis,5,0,1
SP1,Ath Bilbao,Levante,5,1,1
SP1,Ath Bilbao,Real Madrid,1,2,0
SP1,Ath Bilbao,Sevilla,6,0,1
SP1,Ath Madrid,Ath Bilbao,6,0,1
SP1,Ath Madrid,Barcelona,0,4,0
SP1,Ath Madrid,Betis,4,0,1
SP1,Ath Madrid,Getafe,6,0,1
SP1,Ath Madrid,Granada,5,0,1
SP1,Ath Madrid,Levante,6,0,1
SP1,Ath Madrid,Malaga,4,0,1
SP1,Ath Madrid,Real Madrid,1,2,0
SP1,Ath Madrid,Sociedad,6,0,1
SP1,Barcelona,Ath Bilbao,5,0,1
SP1,Barcelona,Betis,5,1,1
SP1,Barcelona,Eibar,6,0,1
SP1,Barcelona,Espanol,6,0,1
SP1,Barcelona,Granada,5,0,1
SP1,Barcelona,Levante,6,0,1
SP1,Barcelona,Sevilla,7,0,1
SP1,Barcelona,Sociedad,7,0,1
SP1,Barcelona,Villarreal,7,0,1
SP1,Betis,Ath Madrid,1,4,0
SP1,Betis,Barcelona,0,5,0
SP1,Betis,Real Madrid,1,4,0
SP1,Betis,Sevilla,1,3,0
SP1,Celta,Getafe,1,1,0
SP1,Celta,Real Madrid,1,5,0
SP1,Celta,Villarreal,1,3,0
SP1,Eibar,Ath Bilbao,1,3,0
SP1,Eibar,Ath Madrid,1,5,0
SP1,Eibar,Barcelona,0,5,0
SP1,Eibar,Real Madrid,1,5,0
SP1,Espanol,Barcelona,0,4,0
SP1,Espanol,Real Madrid,1,5,0
SP1,Espanol,Villarreal,1,2,0
SP1,Getafe,Ath Bilbao,1,3,0
SP1,Getafe,Ath Madrid,0,5,0
SP1,Getafe,Barcelona,0,5,0
SP1,Getafe,Betis,4,1,1
SP1,Getafe,Espanol,4,0,1
SP1,Getafe,Real Madrid,0,5,0
SP1,Granada,Ath Madrid,0,3,0
SP1,Granada,Celta,0,3,0
SP1,Granada,Espanol,1,3,0
SP1,Granada,Sociedad,0,4,0
SP1,Levante,Ath Bilbao,1,3,0
SP1,Levante,Celta,1,5,0
SP1,Levante,Getafe,1,0,0
SP1,Levante,Real Madrid,1,4,0
SP1,Levante,Sevilla,1,2,0
SP1,Levante,Sociedad,1,2,0
SP1,Malaga,Ath Madrid,1,3,0
SP1,Malaga,Barcelona,1,3,0
SP1,Malaga,Celta,4,1,1
SP1,Malaga,Espanol,0,4,0
SP1,Malaga,Real Madrid,0,4,0
SP1,Real Madrid,Ath Madrid,1,3,0
SP1,Real Madrid,Celta,6,0,1
SP1,Real Madrid,Eibar,4,0,1
SP1,Real Madrid,Espanol,7,0,1
SP1,Real Madrid,Getafe,5,0,1
SP1,Real Madrid,Granada,5,0,1
SP1,Real Madrid,Malaga,4,0,1
SP1,Real Madrid,Sevilla,7,0,1
SP1,Real Madrid,Sociedad,6,1,1
SP1,Sevilla,Ath Madrid,1,3,0
SP1,Sevilla,Barcelona,1,3,0
SP1,Sevilla,Betis,4,1,1
SP1,Sevilla,Granada,4,1,1
SP1,Sevilla,Malaga,4,0,1
SP1,Sociedad,Betis,5,0,1
SP1,Sociedad,Malaga,0,2,0
SP1,Sociedad,Villarreal,1,5,0
SP1,Valencia,Ath Madrid,1,3,0
SP1,Valencia,Barcelona,1,3,0
SP1,Valencia,Getafe,1,2,0
SP1,Valencia,Granada,4,0,1
SP1,Valencia,Levante,5,0,1
SP1,Valencia,Malaga,4,0,1
SP1,Villarreal,Barcelona,0,3,0
SP1,Villarreal,Granada,4,0,1
SP1,Villarreal,Levante,5,0,1
SP1,Villarreal,Real Madrid,1,2,0
